base_price,competitor_price,demand,inventory,time_to_event,distance,demand_ratio,final_price,season_Autumn,season_Monsoon,season_Summer,season_Winter,customer_type_New,customer_type_Premium,customer_type_Regular
1999,4518,731,40,605,774,18.275,13592.33,0,0,0,1,0,1,0
1367,2269,540,118,263,1818,4.576271186440678,3331.9,0,0,0,1,1,0,0
1628,1978,205,428,535,1168,0.47897196261682246,1963.61,0,0,0,1,0,0,1
3302,4070,847,36,142,1267,23.52777777777778,27019.93,0,0,0,1,0,0,1
3656,4796,124,352,148,782,0.3522727272727273,4173.19,1,0,0,0,0,1,0
3990,4670,426,169,440,35,2.5207100591715976,7507.08,0,0,1,0,0,1,0
746,2717,361,26,628,1834,13.884615384615385,4190.08,0,0,0,1,0,1,0
2988,1615,985,276,593,53,3.568840579710145,6551.76,0,0,1,0,0,0,1
2535,674,84,138,416,503,0.6086956521739131,3020.35,0,0,0,1,0,0,1
700,4542,671,229,25,1380,2.930131004366812,1404.6,0,1,0,0,0,1,0
2463,2967,45,91,627,150,0.4945054945054945,3082.27,0,0,1,0,1,0,0
2161,3644,251,58,94,437,4.327586206896552,5217.05,0,1,0,0,0,0,1
341,4577,672,50,305,450,13.44,1800.63,1,0,0,0,0,1,0
2141,171,72,29,185,525,2.4827586206896552,4106.04,0,1,0,0,0,0,1
2924,2668,675,336,283,267,2.0089285714285716,4984.42,1,0,0,0,1,0,0
2712,3537,518,46,155,1932,11.26086956521739,12830.91,0,0,0,1,1,0,0
1463,3080,197,391,686,1633,0.5038363171355499,1793.01,1,0,0,0,0,0,1
1578,1217,744,409,685,86,1.8190709046454767,2493.03,0,0,0,1,0,1,0
2656,2486,102,48,666,309,2.125,4472.75,0,0,0,1,0,0,1
875,3608,14,118,14,265,0.11864406779661017,966.47,0,0,0,1,0,1,0
4114,1459,447,438,640,492,1.0205479452054795,5618.63,1,0,0,0,0,0,1
134,4859,175,73,341,1607,2.3972602739726026,239.68,0,0,0,1,1,0,0
3252,1615,455,184,604,1041,2.472826086956522,5677.21,0,1,0,0,0,0,1
2055,139,34,288,473,1213,0.11805555555555555,2315.96,0,1,0,0,0,1,0
1685,1482,517,41,108,522,12.609756097560975,8772.07,0,0,0,1,0,1,0
4043,2130,107,442,331,1190,0.2420814479638009,4536.53,0,0,0,1,1,0,0
3173,2721,277,218,540,1915,1.2706422018348624,4689.62,0,0,1,0,0,1,0
1121,2000,671,388,439,1575,1.7293814432989691,1732.87,1,0,0,0,0,1,0
3561,2317,402,28,709,878,14.357142857142858,19850.87,0,0,1,0,1,0,0
2713,4896,773,115,712,1369,6.721739130434782,8542.98,0,1,0,0,0,1,0
3943,4706,605,491,666,1243,1.2321792260692463,5755.15,1,0,0,0,0,1,0
1600,1383,294,215,384,94,1.3674418604651162,2362.34,0,1,0,0,0,0,1
4898,683,693,256,582,1182,2.70703125,9318.11,1,0,0,0,0,0,1
261,558,742,332,160,1899,2.2349397590361444,448.89,1,0,0,0,0,0,1
4397,2365,118,176,432,34,0.6704545454545454,5306.97,1,0,0,0,0,0,1
2081,2766,36,98,396,801,0.3673469387755102,2522.2,0,1,0,0,0,0,1
1095,915,767,325,615,416,2.36,1872.55,0,0,0,1,0,0,1
3442,2611,64,20,488,1530,3.2,6936.11,0,1,0,0,0,0,1
4651,346,986,58,189,1514,17.0,29641.02,1,0,0,0,1,0,0
3898,4925,142,408,418,524,0.3480392156862745,4442.37,0,1,0,0,0,0,1
1375,516,61,393,343,233,0.15521628498727735,1518.45,0,1,0,0,0,1,0
1116,4563,502,476,361,1623,1.0546218487394958,1536.9,0,0,1,0,1,0,0
437,3817,774,70,109,605,11.057142857142857,1934.79,1,0,0,0,0,0,1
978,207,790,180,301,107,4.388888888888889,2285.64,0,1,0,0,0,0,1
1176,2731,307,152,368,1217,2.0197368421052633,1914.54,1,0,0,0,0,1,0
4987,938,408,216,255,1492,1.8888888888888888,8192.93,0,1,0,0,1,0,0
4093,4613,600,495,316,522,1.2121212121212122,6053.52,0,0,1,0,0,1,0
4959,1521,27,472,705,637,0.057203389830508475,5094.86,0,1,0,0,0,1,0
479,4878,827,210,71,787,3.9380952380952383,1115.67,0,0,0,1,1,0,0
592,4012,779,14,269,1019,55.642857142857146,11303.82,1,0,0,0,0,1,0
2162,355,864,220,501,1303,3.9272727272727272,4839.57,0,0,1,0,1,0,0
3984,2927,628,481,209,1152,1.3056133056133057,5914.97,0,1,0,0,0,1,0
164,937,918,38,478,341,24.157894736842106,1445.44,0,0,1,0,1,0,0
2668,3062,973,199,176,697,4.889447236180905,7047.35,0,1,0,0,0,0,1
2127,2382,568,197,239,1899,2.883248730964467,4320.17,1,0,0,0,1,0,0
2795,652,255,334,610,1891,0.7634730538922155,3572.07,0,1,0,0,0,1,0
1595,280,512,264,442,59,1.9393939393939394,2584.48,0,0,1,0,0,1,0
491,4352,98,159,601,1206,0.6163522012578616,613.43,0,0,0,1,0,0,1
4614,1577,212,22,492,586,9.636363636363637,18064.95,0,0,1,0,0,0,1
4574,670,955,443,99,1538,2.1557562076749437,7783.64,0,0,0,1,0,0,1
3661,1827,249,381,329,243,0.6535433070866141,4765.53,0,0,0,1,1,0,0
2378,691,499,440,326,228,1.134090909090909,3356.63,1,0,0,0,1,0,0
3199,4616,789,375,445,560,2.104,5446.08,0,0,1,0,1,0,0
300,2360,22,166,666,518,0.13253012048192772,320.22,0,1,0,0,1,0,0
4975,3047,658,89,295,555,7.393258426966292,16410.28,0,0,0,1,1,0,0
3204,447,324,365,442,1169,0.8876712328767123,4153.23,0,0,1,0,0,1,0
4698,265,694,282,31,127,2.4609929078014185,8843.72,1,0,0,0,0,1,0
2554,4543,751,157,131,335,4.7834394904458595,6831.66,0,1,0,0,0,1,0
3745,2996,207,215,527,758,0.9627906976744186,5084.83,0,1,0,0,1,0,0
904,4593,252,123,438,1956,2.048780487804878,1471.28,0,1,0,0,0,0,1
2831,682,516,15,326,1432,34.4,34453.77,0,0,1,0,0,1,0
2873,3606,52,287,267,121,0.18118466898954705,3294.84,0,0,1,0,0,1,0
1670,4503,339,241,286,1768,1.4066390041493777,2595.87,0,1,0,0,1,0,0
2790,3138,800,146,291,1912,5.47945205479452,7840.11,1,0,0,0,1,0,0
3940,2945,600,169,368,701,3.5502958579881656,8548.87,0,1,0,0,1,0,0
1128,2866,438,353,486,1309,1.2407932011331444,1643.93,0,1,0,0,0,1,0
602,4294,800,298,555,242,2.684563758389262,1088.24,1,0,0,0,0,0,1
4593,1365,753,214,168,78,3.5186915887850465,10060.21,1,0,0,0,1,0,0
970,4353,622,492,471,1594,1.2642276422764227,1432.83,1,0,0,0,1,0,0
4588,4749,171,335,170,450,0.5104477611940299,5672.58,0,1,0,0,0,0,1
306,4846,665,314,346,1494,2.1178343949044587,528.59,1,0,0,0,0,0,1
1584,3067,968,369,78,1205,2.6233062330623307,3028.75,0,0,1,0,0,0,1
963,2374,630,167,85,1606,3.7724550898203595,2184.01,1,0,0,0,1,0,0
2890,2570,444,367,661,265,1.2098092643051772,3984.41,0,1,0,0,1,0,0
663,2390,242,409,201,1740,0.5916870415647921,850.82,0,0,0,1,0,1,0
4291,2677,120,458,589,682,0.26200873362445415,4916.5,0,0,0,1,0,1,0
1857,3760,937,115,361,295,8.147826086956522,6861.66,0,0,1,0,0,1,0
1778,1168,943,91,565,965,10.362637362637363,7555.92,0,0,0,1,0,1,0
3342,2836,241,351,302,890,0.6866096866096866,4400.88,0,0,0,1,0,1,0
4736,4929,961,483,293,247,1.989648033126294,7943.01,0,0,0,1,0,1,0
1159,2050,759,279,294,424,2.7204301075268815,2247.82,0,0,1,0,1,0,0
1822,191,718,449,109,1083,1.599109131403118,2952.79,0,0,0,1,0,1,0
3414,3193,282,430,365,1836,0.6558139534883721,4459.97,0,1,0,0,1,0,0
3257,2319,607,58,600,833,10.46551724137931,14352.23,0,0,0,1,1,0,0
2725,1487,816,215,678,1482,3.7953488372093025,5924.29,1,0,0,0,0,0,1
2829,4374,50,227,494,11,0.22026431718061673,3302.62,0,0,0,1,1,0,0
1697,2385,569,315,267,347,1.8063492063492064,2874.12,0,0,0,1,1,0,0
3160,3306,475,173,93,852,2.745664739884393,5822.48,0,1,0,0,1,0,0
2793,3024,933,445,685,1029,2.096629213483146,4754.64,0,0,1,0,0,0,1
4991,379,86,288,64,1741,0.2986111111111111,5736.26,0,0,1,0,1,0,0
3727,1718,699,331,428,1394,2.11178247734139,6144.24,0,0,0,1,0,0,1
1463,2887,499,240,638,1482,2.0791666666666666,2420.61,0,1,0,0,0,1,0
2081,470,778,208,368,245,3.7403846153846154,4653.58,0,0,0,1,1,0,0
1763,3283,126,496,105,249,0.2540322580645161,2080.09,0,0,1,0,0,1,0
1629,3934,443,438,209,945,1.0114155251141552,2129.18,0,0,1,0,1,0,0
2138,1803,28,380,574,435,0.07368421052631578,2384.65,1,0,0,0,0,0,1
3402,2368,580,223,474,1444,2.600896860986547,6600.72,1,0,0,0,0,1,0
2337,403,205,293,61,105,0.6996587030716723,3069.9,0,1,0,0,1,0,0
1406,3874,628,495,346,242,1.2686868686868686,2014.42,0,1,0,0,1,0,0
4129,1448,460,285,12,1296,1.6140350877192982,6429.1,0,0,1,0,0,0,1
2775,2522,434,442,466,519,0.9819004524886877,3737.42,0,0,1,0,1,0,0
1382,3728,403,194,649,1760,2.077319587628866,2455.82,0,0,1,0,0,1,0
809,2528,293,219,195,729,1.3378995433789955,1192.81,0,0,0,1,0,0,1
4844,3133,43,130,74,1068,0.33076923076923076,5367.6,1,0,0,0,0,1,0
4513,768,304,225,386,1050,1.3511111111111112,6516.09,1,0,0,0,0,1,0
3848,599,260,106,136,1828,2.452830188679245,6988.16,0,0,1,0,1,0,0
4879,1514,647,452,555,181,1.4314159292035398,7639.19,0,0,1,0,1,0,0
763,629,348,128,436,604,2.71875,1464.14,1,0,0,0,0,0,1
2098,3721,627,374,39,428,1.6764705882352942,3372.65,0,1,0,0,0,0,1
3545,3556,449,291,543,268,1.5429553264604812,5231.84,0,0,1,0,0,0,1
3843,854,189,412,654,858,0.4587378640776699,4755.43,0,0,1,0,0,1,0
1595,2447,631,115,320,580,5.48695652173913,4448.0,0,1,0,0,0,1,0
3404,826,237,406,556,876,0.583743842364532,4368.62,0,0,1,0,0,1,0
3863,4926,642,467,700,151,1.3747323340471092,5699.24,1,0,0,0,0,1,0
1953,2749,628,327,353,1640,1.9204892966360856,3288.48,1,0,0,0,1,0,0
4759,2146,652,391,514,600,1.6675191815856778,7475.88,0,1,0,0,0,0,1
1391,2915,32,151,483,95,0.2119205298013245,1500.52,1,0,0,0,1,0,0
3681,974,666,466,416,382,1.4291845493562232,5402.33,0,1,0,0,1,0,0
3557,3379,336,404,370,1822,0.8316831683168316,4474.38,0,1,0,0,0,1,0
1736,3084,163,332,343,1855,0.49096385542168675,2079.38,1,0,0,0,0,0,1
3796,2278,628,497,325,515,1.2635814889336017,5574.89,0,1,0,0,0,1,0
3099,3907,155,277,367,1744,0.5595667870036101,3707.43,1,0,0,0,0,1,0
3252,707,261,300,336,930,0.87,4301.87,0,1,0,0,0,0,1
798,734,311,496,296,1638,0.6270161290322581,991.62,0,1,0,0,0,0,1
2260,4679,79,375,24,1884,0.21066666666666667,2531.0,0,1,0,0,1,0,0
4197,2827,552,176,442,1713,3.1363636363636362,8296.36,1,0,0,0,0,1,0
4837,1174,102,169,104,1452,0.6035502958579881,6017.87,0,0,1,0,0,1,0
954,2014,658,240,412,1449,2.7416666666666667,1801.99,0,0,0,1,0,1,0
3574,688,895,23,574,1840,38.91304347826087,46592.24,0,0,1,0,0,0,1
1807,3331,172,202,665,199,0.8514851485148515,2401.53,0,1,0,0,0,1,0
2877,2404,90,164,294,8,0.5487804878048781,3400.25,1,0,0,0,0,1,0
1833,3938,837,110,243,1927,7.609090909090909,6559.19,0,1,0,0,0,1,0
3610,2073,597,69,342,1781,8.652173913043478,14193.77,0,0,1,0,0,1,0
302,2155,72,52,633,805,1.3846153846153846,455.68,0,0,0,1,1,0,0
3355,3580,621,202,173,1975,3.0742574257425743,6644.75,0,0,1,0,0,0,1
4318,2179,445,320,416,327,1.390625,6502.49,1,0,0,0,1,0,0
4596,3152,57,118,103,1714,0.4830508474576271,5578.55,1,0,0,0,0,0,1
866,4582,454,102,160,1618,4.450980392156863,2101.49,0,0,1,0,0,1,0
4489,1351,929,225,257,1648,4.128888888888889,10338.04,0,0,1,0,0,0,1
2427,3895,83,474,714,871,0.1751054852320675,2597.53,0,0,0,1,1,0,0
3031,3922,835,172,557,1045,4.854651162790698,7607.18,0,1,0,0,0,1,0
297,4402,713,360,576,1570,1.9805555555555556,504.39,1,0,0,0,1,0,0
2030,3489,551,243,196,255,2.2674897119341564,3713.07,1,0,0,0,1,0,0
3682,1880,166,425,391,1457,0.3905882352941176,4271.79,0,0,0,1,1,0,0
708,2704,496,412,70,1529,1.203883495145631,975.45,1,0,0,0,0,0,1
3372,3788,275,360,693,1051,0.7638888888888888,4150.06,1,0,0,0,1,0,0
1247,4988,265,176,247,520,1.5056818181818181,1883.76,0,0,1,0,0,0,1
4382,1824,48,157,329,930,0.3057324840764331,4895.17,0,0,1,0,1,0,0
3497,2884,64,37,158,530,1.7297297297297298,5482.99,0,0,0,1,1,0,0
2611,3819,37,268,698,947,0.13805970149253732,2784.86,1,0,0,0,0,0,1
1894,1777,923,425,585,500,2.171764705882353,3335.74,0,0,0,1,0,0,1
759,548,946,95,55,1257,9.957894736842105,3219.65,0,1,0,0,1,0,0
2911,4787,127,117,486,1420,1.0854700854700854,4210.99,0,1,0,0,1,0,0
1469,181,379,451,243,1331,0.8403547671840355,1968.05,0,0,0,1,0,1,0
2086,1506,218,447,353,510,0.48769574944071586,2430.64,1,0,0,0,1,0,0
246,1580,596,435,410,1727,1.3701149425287356,373.2,0,1,0,0,1,0,0
3319,1179,586,126,15,424,4.650793650793651,8093.9,1,0,0,0,0,1,0
3011,3698,858,373,147,150,2.3002680965147455,5373.09,0,0,1,0,1,0,0
1834,4614,877,24,490,1416,36.541666666666664,22108.33,0,0,0,1,1,0,0
1943,4283,621,495,656,1514,1.2545454545454546,2686.93,0,1,0,0,0,0,1
588,3780,567,220,25,668,2.577272727272727,1091.03,1,0,0,0,0,0,1
3076,2803,325,327,611,946,0.9938837920489296,4035.08,0,0,1,0,0,0,1
2059,4410,402,40,691,1071,10.05,8520.4,0,0,0,1,1,0,0
2485,3856,950,454,333,312,2.092511013215859,4182.02,0,1,0,0,0,0,1
3019,1858,453,291,174,1952,1.556701030927835,4769.68,0,0,1,0,1,0,0
4836,2699,677,462,290,139,1.4653679653679654,7193.57,0,0,0,1,0,1,0
1902,2650,761,194,570,1429,3.922680412371134,4344.94,0,1,0,0,0,0,1
4161,3953,874,413,145,922,2.116222760290557,7328.25,1,0,0,0,0,1,0
3469,2846,268,75,122,1678,3.5733333333333333,7335.04,0,0,1,0,1,0,0
362,2392,956,414,27,1871,2.3091787439613527,662.1,0,0,1,0,1,0,0
723,1601,657,380,66,14,1.7289473684210526,1189.34,1,0,0,0,0,1,0
1116,4504,891,325,101,1996,2.7415384615384615,2234.99,0,0,1,0,0,1,0
3743,330,207,72,388,1892,2.875,7280.9,0,0,1,0,0,1,0
2149,4350,708,444,94,771,1.5945945945945945,3294.79,0,0,0,1,0,1,0
3823,1298,637,237,67,1772,2.6877637130801686,7390.37,1,0,0,0,0,0,1
4648,214,454,485,250,1977,0.9360824742268041,5987.89,0,0,1,0,0,1,0
3208,1513,579,477,142,1914,1.2138364779874213,4393.59,1,0,0,0,0,0,1
4190,4506,591,110,267,1543,5.372727272727273,11310.12,0,0,0,1,0,1,0
2156,1092,614,432,552,1575,1.4212962962962963,3299.64,0,0,0,1,0,1,0
3270,2447,750,365,215,185,2.0547945205479454,5347.31,1,0,0,0,0,0,1
1782,1141,917,148,489,1139,6.195945945945946,5418.12,1,0,0,0,1,0,0
2355,111,658,128,496,110,5.140625,6148.2,0,1,0,0,1,0,0
1254,3776,626,66,480,1601,9.484848484848484,5136.45,0,0,0,1,1,0,0
4599,4925,314,140,643,743,2.242857142857143,8045.04,0,0,1,0,1,0,0
3291,3165,348,46,490,281,7.565217391304348,10884.04,0,0,0,1,0,0,1
1796,2136,538,477,1,543,1.1278825995807127,2463.14,0,0,0,1,1,0,0
4091,3146,63,489,9,86,0.12883435582822086,4342.48,0,1,0,0,0,0,1
4823,2450,121,120,380,138,1.0083333333333333,6385.35,1,0,0,0,0,0,1
4782,640,693,162,144,1490,4.277777777777778,11430.28,0,0,0,1,0,0,1
1748,2960,937,414,302,77,2.263285024154589,3215.05,0,1,0,0,0,0,1
1545,176,428,259,650,1992,1.6525096525096525,2463.02,1,0,0,0,0,0,1
4299,3167,983,251,417,1161,3.9163346613545817,10131.55,0,0,0,1,0,1,0
4023,123,314,217,179,1658,1.4470046082949308,6335.41,0,1,0,0,0,0,1
353,775,447,377,278,975,1.1856763925729443,504.44,0,0,0,1,1,0,0
3283,2494,665,179,144,776,3.7150837988826817,7107.25,0,0,1,0,0,0,1
2657,4367,94,266,339,1017,0.3533834586466165,3211.34,1,0,0,0,1,0,0
198,3498,533,288,459,97,1.8506944444444444,329.46,1,0,0,0,0,0,1
2300,2859,261,372,702,995,0.7016129032258065,3051.09,0,0,0,1,1,0,0
3061,588,737,122,331,1555,6.040983606557377,9168.87,0,1,0,0,0,0,1
4533,1585,135,417,270,798,0.3237410071942446,5358.75,0,1,0,0,0,1,0
3877,3759,619,184,187,1033,3.364130434782609,8483.61,0,0,1,0,1,0,0
2969,3335,913,98,666,83,9.316326530612244,12122.5,0,0,1,0,1,0,0
3334,2519,414,144,172,47,2.875,6558.95,0,1,0,0,0,0,1
3891,3595,313,303,404,1536,1.033003300330033,5337.35,1,0,0,0,1,0,0
1056,856,913,312,468,430,2.926282051282051,2146.33,0,0,1,0,0,0,1
4167,2624,37,368,247,1114,0.10054347826086957,4624.08,0,0,0,1,0,1,0
260,4350,857,428,523,513,2.0023364485981308,431.43,0,0,0,1,0,1,0
4593,356,275,215,559,1923,1.2790697674418605,6672.14,1,0,0,0,0,0,1
1400,1879,61,327,111,1698,0.18654434250764526,1572.22,1,0,0,0,0,0,1
4087,4869,664,82,303,1689,8.097560975609756,14055.18,0,0,1,0,0,1,0
1627,2215,653,268,473,1438,2.4365671641791047,2886.01,0,0,0,1,1,0,0
1318,3448,867,367,292,513,2.362397820163488,2308.44,1,0,0,0,1,0,0
4596,4868,520,157,252,1915,3.3121019108280256,9972.01,0,0,0,1,1,0,0
4835,1572,216,498,588,658,0.43373493975903615,5645.26,0,0,1,0,0,1,0
3204,358,583,234,175,673,2.4914529914529915,5904.0,1,0,0,0,0,0,1
2835,4175,884,114,109,1929,7.754385964912281,10214.3,0,1,0,0,0,1,0
4655,406,520,53,340,647,9.81132075471698,18833.22,0,0,0,1,1,0,0
1054,1218,653,425,14,798,1.536470588235294,1558.89,1,0,0,0,0,0,1
4665,3117,562,365,693,77,1.5397260273972602,7466.61,0,0,1,0,0,0,1
3546,4441,210,35,322,81,6.0,10628.47,0,1,0,0,1,0,0
1145,2880,620,313,43,1805,1.9808306709265175,1857.74,1,0,0,0,0,0,1
1793,1758,832,270,461,1805,3.0814814814814815,3733.37,0,0,0,1,1,0,0
3536,286,293,68,102,554,4.3088235294117645,8744.91,0,0,0,1,0,1,0
662,1897,366,70,625,636,5.228571428571429,1842.81,0,0,1,0,0,0,1
2585,1024,56,314,705,742,0.17834394904458598,2798.53,0,0,0,1,1,0,0
3454,884,146,423,9,1893,0.34515366430260047,3982.63,0,1,0,0,1,0,0
325,3544,139,410,149,1226,0.33902439024390246,382.89,0,0,1,0,0,1,0
4993,3296,204,79,338,846,2.5822784810126582,9207.17,0,0,1,0,0,0,1
1059,1460,638,451,224,1471,1.4146341463414633,1518.98,1,0,0,0,0,0,1
4648,440,373,456,110,107,0.8179824561403509,5867.58,0,0,1,0,0,0,1
3167,662,441,454,354,965,0.9713656387665198,4334.11,1,0,0,0,0,0,1
915,4846,78,456,84,1316,0.17105263157894737,998.04,0,0,1,0,0,1,0
4854,3099,467,280,555,1827,1.667857142857143,7286.65,1,0,0,0,0,1,0
4742,1293,549,266,66,686,2.06390977443609,8266.92,1,0,0,0,0,0,1
3220,3210,344,406,388,941,0.8472906403940886,4206.77,1,0,0,0,1,0,0
116,168,535,441,621,312,1.2131519274376417,163.18,0,1,0,0,0,0,1
1343,2528,567,393,614,599,1.4427480916030535,2061.58,1,0,0,0,0,0,1
2305,3698,992,427,135,1541,2.323185011709602,4089.5,0,1,0,0,1,0,0
2624,2472,918,134,86,684,6.850746268656716,8573.95,1,0,0,0,0,0,1
1169,4656,25,423,84,633,0.0591016548463357,1191.3,1,0,0,0,1,0,0
3544,943,999,28,227,668,35.67857142857143,41516.53,0,1,0,0,0,1,0
2665,673,945,128,260,599,7.3828125,9047.26,0,1,0,0,1,0,0
1160,4314,465,329,20,1450,1.4133738601823709,1814.1,0,1,0,0,0,1,0
2427,2696,519,75,35,1634,6.92,7668.78,0,1,0,0,0,0,1
3520,4841,218,254,443,415,0.8582677165354331,4728.6,1,0,0,0,1,0,0
401,1578,167,66,270,1159,2.5303030303030303,717.55,1,0,0,0,1,0,0
4376,2173,346,53,406,1543,6.528301886792453,13349.7,0,0,1,0,0,0,1
706,1613,748,21,508,772,35.61904761904762,8314.53,0,0,1,0,0,1,0
3270,1068,970,387,304,1388,2.5064599483204133,6233.43,1,0,0,0,1,0,0
799,2296,250,433,670,384,0.5773672055427251,966.5,0,0,1,0,1,0,0
1239,1611,67,245,285,1056,0.27346938775510204,1371.55,0,1,0,0,0,0,1
290,754,993,33,548,540,30.09090909090909,3120.36,0,0,1,0,0,1,0
2400,3092,825,404,29,1976,2.042079207920792,3947.49,0,1,0,0,0,0,1
1080,4750,314,459,391,1796,0.6840958605664488,1332.92,1,0,0,0,1,0,0
3075,4620,354,266,416,487,1.330827067669173,4347.27,0,0,1,0,0,0,1
1284,392,651,451,142,1780,1.4434589800443458,2017.19,0,1,0,0,0,0,1
3427,2701,738,293,646,1389,2.5187713310580206,6165.54,1,0,0,0,0,1,0
3494,4626,23,333,656,264,0.06906906906906907,3921.49,1,0,0,0,0,1,0
227,4512,368,370,341,1166,0.9945945945945946,299.92,0,1,0,0,0,0,1
2165,4593,386,260,245,30,1.4846153846153847,3135.72,0,1,0,0,0,0,1
1916,1688,252,103,5,899,2.4466019417475726,3619.88,1,0,0,0,0,0,1
669,695,154,389,449,130,0.39588688946015427,791.87,0,0,0,1,1,0,0
1995,2693,900,452,266,1802,1.991150442477876,3298.69,0,0,0,1,0,1,0
2833,2223,424,464,491,1094,0.9137931034482759,3794.93,0,1,0,0,1,0,0
3963,2043,403,389,239,119,1.0359897172236503,5330.13,0,0,1,0,0,1,0
4821,1015,847,31,250,327,27.322580645161292,47152.02,0,1,0,0,0,1,0
4114,3969,624,483,291,1936,1.2919254658385093,6060.41,1,0,0,0,1,0,0
3001,2894,738,166,543,1094,4.445783132530121,7059.7,0,1,0,0,1,0,0
1786,3178,367,98,632,208,3.7448979591836733,4137.9,0,0,0,1,0,0,1
3109,1075,942,211,79,91,4.464454976303317,7607.94,0,1,0,0,0,1,0
254,1175,585,477,521,120,1.2264150943396226,354.23,0,0,0,1,0,1,0
2637,3089,167,471,450,1996,0.35456475583864117,3007.18,0,0,1,0,0,1,0
1509,3567,683,490,556,982,1.3938775510204082,2325.38,0,0,1,0,0,0,1
4157,1551,27,206,144,207,0.13106796116504854,4486.01,0,0,1,0,0,1,0
884,3923,737,54,120,406,13.648148148148149,4756.57,0,1,0,0,0,1,0
3275,4032,840,463,565,768,1.8142548596112311,5536.8,0,0,0,1,1,0,0
4441,2128,570,479,577,547,1.1899791231732777,6419.16,0,1,0,0,1,0,0
2906,462,577,389,176,124,1.4832904884318765,4482.88,0,0,1,0,0,0,1
637,2529,356,410,70,112,0.8682926829268293,822.89,0,1,0,0,0,1,0
1941,3732,67,88,633,1010,0.7613636363636364,2543.69,0,0,0,1,0,0,1
2555,2418,164,48,203,1231,3.4166666666666665,5377.62,1,0,0,0,1,0,0
624,3185,576,433,180,983,1.3302540415704387,952.56,0,0,0,1,0,1,0
3050,2445,496,293,593,614,1.6928327645051195,4658.52,0,0,1,0,0,1,0
4231,3698,862,395,567,945,2.1822784810126583,7200.94,0,0,1,0,0,0,1
4880,4429,540,475,691,1410,1.1368421052631579,6587.53,0,0,1,0,0,1,0
4215,1831,496,164,610,706,3.024390243902439,8345.56,0,1,0,0,0,1,0
2468,126,160,158,110,1777,1.0126582278481013,3265.52,0,0,0,1,1,0,0
3947,192,368,352,424,147,1.0454545454545454,5623.12,0,1,0,0,0,0,1
4595,2764,377,400,665,1989,0.9425,6439.48,0,0,1,0,1,0,0
2801,408,629,454,503,132,1.3854625550660793,4230.65,0,0,0,1,0,0,1
1071,151,56,61,406,732,0.9180327868852459,1380.08,1,0,0,0,1,0,0
1266,418,216,260,637,850,0.8307692307692308,1635.56,0,0,1,0,0,0,1
2874,2092,884,441,91,104,2.00453514739229,5046.2,0,0,0,1,0,1,0
2082,4376,459,391,294,553,1.173913043478261,2853.6,0,0,0,1,0,1,0
